"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2005","2005",,,"0","Units",,,4.05634029043558,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2006","2006",,,"0","Units",,,4.25602953597724,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2007","2007",,,"0","Units",,,4.03120341688897,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2008","2008",,,"0","Units",,,4.33325044910453,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2009","2009",,,"0","Units",,,4.58999671369111,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2010","2010",,,"0","Units",,,4.18756262236325,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2011","2011",,,"0","Units",,,4.1153516016861,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2012","2012",,,"0","Units",,,3.8898613440711,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2013","2013",,,"0","Units",,,3.66382189382632,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2014","2014",,,"0","Units",,,3.80313236046343,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2015","2015",,,"0","Units",,,3.76261434674966,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2016","2016",,,"0","Units",,,3.73333267299534,,
"LVA","Latvia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2017","2017",,,"0","Units",,,3.50570797471067,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2000","2000",,,"0","Units",,,5.42794855572453,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2001","2001",,,"0","Units",,,5.5621119028176,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2002","2002",,,"0","Units",,,5.6924753335993,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2003","2003",,,"0","Units",,,5.32606079715463,,
"LVA","Latvia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2004","2004",,,"0","Units",,,5.91352926290546,,
